winner_name,value
Simone Vagnozzi,304
Adrian Ungur,1
Milos Raonic,230
Matthias Bachinger,214
Michael Ryderstedt,222
Evgeny Donskoy,87
Konstantin Kravchuk,182
David Goffin,65
Yuichi Sugita,341
Caio Zampieri,50
Lukas Rosol,193
Dusan Lajovic,81
Thomas Schoorel,320
Jimmy Wang,153
Michael Yani,223
Federico Delbonis,91
Cedrik Marcel Stebe,55
Tatsuma Ito,313
Vasek Pospisil,327
Malek Jaziri,195
Rogerio Dutra Silva,281
Jack Sock,137
Alessandro Giannessi,9
Danai Udomchoke,59
Dominic Thiem,76
Aljaz Bedene,18
James Duckworth,139
Yuki Bhambri,342
Albano Olivetti,4
Roberto Bautista Agut,277
Robert Farah,275
Jurgen Zopp,176
Attila Balazs,36
Brian Baker,47
Jerzy Janowicz,149
Kenny De Schepper,179
Steve Johnson,311
Michael Mcclune,220
Bradley Klahn,45
Vincent Millot,332
John Millman,160
Greg Jones,114
Amir Weintraub,21
Arnau Brugues Davi,34
Guido Pella,117
Diego Sebastian Schwartzman,74
Pablo Carreno Busta,246
Gastao Elias,107
Andre Ghem,22
Lucas Pouille,189
Nick Kyrgios,232
Daniel Evans,61
Alex Kuznetsov,12
Peter Gojowczyk,253
Pierre Hugues Herbert,258
Damir Dzumhur,58
Victor Estrella,329
Alexander Zverev,16
Yann Marti,338
Nikoloz Basilashvili,240
Gianni Mina,110
Andrej Martin,28
Jan Mertl,143
Pedro Sousa,251
